1	1.00794	53	-252.87	31	0.0899	72.8	2.2	0.558	-259.14	14300	0.1805	0.452	1312
3	6.941	167	1342	128	535	59.6	0.98	3	180.54	3570	85	147	520.2
4	9.012182	112	2470	96	1848	0	1.57	7.95	1287	1820	190	297	899.5
5	10.811	87	4000	85	2460	26.7	2.04	50	2075	1030	27	507	800.6
6	12.0107	67	4027	76	2260	153.9	2.55	105	3550	710	140	715	1086.5
7	14.0067	56	-195.79	71	1.251	7	3.04	0.36	-210.1	1040	0.02583	2.79	1402.3
8	15.9994	48	-182.9	66	1.429	141	3.44	0.222	-218.3	919	0.02658	3.41	1313.9
9	18.9984032	42	-188.12	57	1.696	328	3.98	0.26	-219.6	824	0.0277	3.27	1681
10	20.1791	38	-246.08	58	0.9	0	0	0.34	-248.59	1030	0.0491	1.75	2080.7
11	22.98976928	190	883	166	968	52.8	0.93	2.6	97.72	1230	140	97.7	495.8
12	24.305	145	1090	141	1738	0	1.31	8.7	650	1020	160	128	737.7
13	26.9815386	118	2519	121	2.7*10^3	42.5	1.61	10.7	660.32	904	235	293	577.5
14	28.0855	111	2.9*10^3	111	2330	133.6	1.9	50.2	1414	710	150	359	786.5
15	30.973762	98	280.5	107	1823	71	2.19	0.64	44.2	769.7	0.236	12.4	1011.8
16	32.065	87	444.72	105	1960	2.0*10^2	2.58	1.73	115.21	705	0.205	9.8	999.6
17	35.453	79	-34.04	102	3.214	349	3.16	3.2	-101.5	478.2	0.0089	10.2	1251.2
18	39.948	71	-185.8	106	1.784	0	0	1.18	-189.3	520.33	0.01772	6.5	1520.6
19	39.0983	243	759	203	856	48.4	0.82	2.33	63.38	757	1.0*10^2	76.9	418.8
20	40.078	194	1484	176	1550	2.37	1	8.54	842	631	2.0*10^2	155	589.8
21	44.955912	184	2830	170	2985	18.1	1.36	16	1541	567	16	318	633.1
22	47.867	176	3287	160	4507	7.6	1.54	18.7	1668	520	22	425	658.8
23	50.9415	171	3407	153	6110	50.6	1.63	22.8	1910	489	31	453	650.9
24	51.9961	166	2671	139	7190	64.3	1.66	20.5	1907	448	94	339	652.9
25	54.938045	161	2061	139	7470	0	1.55	13.2	1246	479	7.7	220	717.3
26	55.845	156	2861	132	7874	15.7	1.83	13.8	1538	449	79	347	762.5
27	58.933195	152	2927	126	8.9*10^3	63.7	1.88	16.2	1495	421	1.0*10^2	375	760.4
28	58.6934	149	2913	124	8908	112	1.91	17.2	1455	445	91	378	737.1
29	63.546	145	2562	132	8960	118.4	1.9	13.1	1084.62	384.4	4.0*10^2	3.0*10^2	745.5
30	65.38	142	907	122	7140	0	1.65	7.35	419.53	388	120	119	906.4
31	69.723	136	2204	122	5904	28.9	1.81	5.59	29.76	371	29	256	578.8
32	72.63	125	2820	120	5323	119	2.01	31.8	938.3	321.4	60	334	762
33	74.9216	114	614	119	5727	78	2.18	27.7	817	328	50	32.4	947
34	78.96	103	685	120	4819	195	2.55	5.4	221	321.2	0.52	26	941
35	79.904	94	59	120	3120	324.6	2.96	5.8	-7.3	947.3	0.12	14.8	1139.9
36	83.798	87	-153.22	116	3.75	0	3	1.64	-157.36	248.05	0.00943	9.02	1350.8
37	85.4678	265	688	220	1532	46.9	0.82	2.19	39.31	364	58	71	403
38	87.62	219	1382	195	2630	5.03	0.95	8	777	300	35	137	549.5
39	88.90585	212	3345	190	4472	29.6	1.22	11.4	1526	298	17	380	6.0*10^2
40	91.224	206	4409	175	6511	41.1	1.33	21	1855	278	23	580	640.1
41	92.90638	198	4744	164	8570	86.1	1.6	26.8	2477	265	54	690	652.1
42	95.96	190	4639	154	10280	71.9	2.16	36	2623	251	139	6.0*10^2	684.3
43	98	183	4265	147	1.15*10^4	53	1.9	23	2157	63	51	550	702
44	101.07	178	4150	146	12370	101.3	2.2	25.7	2334	238	120	580	710.2
45	102.9055	173	3695	142	12450	109.7	2.28	21.7	1964	240	150	495	719.7
46	106.42	169	2963	139	12023	53.7	2.2	16.7	1554.9	240	71	380	804.4
47	107.8682	165	2162	145	10490	125.6	1.93	11.3	961.78	235	430	255	731
48	112.411	161	767	144	8650	0	1.69	6.3	321.07	230	96	1.0*10^2	867.8
49	114.818	156	2072	142	7310	28.9	1.78	3.26	156.6	233	82	230	558.3
50	118.71	145	2602	139	7310	107.3	1.96	7	231.93	217	67	290	708.6
51	121.76	133	1587	139	6697	103.2	2.05	19.7	630.63	207	24	67	834
52	127.6	123	988	138	6240	190.2	2.1	17.5	449.51	201	3	48	869.3
53	126.90447	115	184.3	139	4940	295.2	2.66	7.76	113.7	429	0.449	20.9	1008.4
54	131.293	108	-108	140	5.9	0	2.6	2.3	-111.8	158.32	0.00565	12.64	1170.4
55	132.9054519	298	671	244	1879	45.5	0.79	2.09	28.44	242	36	64	375.7
56	137.327	253	1870	215	3510	13.95	0.89	8	727	205	18	140	502.9
59	140.90765	247	3290	203	6640	50	1.13	6.9	931	193	13	330	527
60	144.242	206	3.1*10^3	201	7010	50	1.14	7.1	1021	190	17	285	533.1
62	150.36	238	1803	198	7353	50	1.17	8.5	1072	196	13	175	544.5
63	151.964	231	1527	198	5244	50	0	9.3	822	182	14	175	547.1
64	157.25	233	3250	196	7901	50	1.2	10	1313	240	11	305	593.4
65	158.92535	225	3230	194	8219	50	0	10.8	1356	182	11	295	565.8
66	162.5	228	2567	192	8551	50	1.22	11.1	1412	167	11	280	573
67	164.93032	226	2700	192	8795	50	1.23	17	1474	165	16	265	581
68	167.259	226	2868	189	9066	50	1.24	19.9	1497	168	15	285	589.3
69	168.93421	222	1950	190	9320	50	1.25	16.8	1545	160	17	250	596.7
70	173.054	222	1196	187	6570	50	0	7.7	819	154	39	160	603.4
71	174.9668	217	3402	187	9841	50	1.27	22	1663	154	16	415	523.5
72	178.49	208	4603	175	13310	0	1.3	25.5	2233	144	23	630	658.5
73	180.94788	2.0*10^2	5458	170	16650	31	1.5	36	3017	140	57	736	761
74	183.84	193	5555	162	19250	78.6	2.36	35	3422	132	170	8.0*10^2	770
75	186.207	188	5596	151	21020	14.5	1.9	33	3186	137	48	705	760
76	190.23	185	5012	144	2.259*10^4	106.1	2.2	31	3033	130	87	630	840
77	192.217	180	4428	141	2.256*10^4	151	2.2	26	2466	131	150	560	880
78	195.084	177	3825	136	21450	205.3	2.28	20	1768.3	133	71	490	870
79	196.966569	174	2856	136	1.93*10^4	222.8	2.54	12.5	1064.18	129.1	320	330	890.1
80	200.59	171	356.73	132	13534	0	2	2.29	-38.83	139.5	8.3	59.2	1007.1
81	204.3833	156	1473	145	11850	19.2	1.62	4.2	304	129	46	165	589.4
82	207.2	154	1749	146	11340	35.1	2.33	4.77	327.46	127	35	178	715.6
83	208.9804	143	1564	148	9780	91.2	2.02	10.9	271.3	122	8	160	703
