22  33  2  5.96271  0  1.2  5.96271  0  5.96271  5.96271  
19  51  2  5.45678  0  0.6  5.45678  0  5.45678  5.45678  
80  41  2  5.60309  1  0.54  5.33309  1.6  6.91309  6.64309  
83  51  2  6.06655  0  0.88  6.06655  0  6.06655  6.06655  
11  47  2  5.5395  0  1.78  5.5395  0  5.5395  5.5395  
4  55  2  5.35985  0  2.58  5.35985  0  5.35985  5.35985  
83  29  2  5.97102  0  1.2  5.97102  0  5.97102  5.97102  
83  12  2  5.76235  0  1.02  5.76235  0  5.76235  5.76235  
73  14  2  6.04092  0  1.22  6.04092  0  6.04092  6.04092  
40  44  2  5.83294  0  1.24  5.83294  0  5.83294  5.83294  
74  81  2  6.3042  0  2.6  6.3042  0  6.3042  6.3042  
30  74  2  6.04488  0  0.52  6.04488  0  6.04488  6.04488  
52  37  2  5.55626  0  2.96  5.55626  0  5.55626  5.55626  
42  32  2  5.94004  0  1.14  5.94004  0  5.94004  5.94004  
79  23  2  6.11675  0  1.02  6.11675  0  6.11675  6.11675  
33  28  2  6.25995  0  1.18  6.25995  0  6.25995  6.25995  
55  72  2  4.98499  0  0.72  4.98499  0  4.98499  4.98499  
4  21  2  5.83194  0  2.3  5.83194  0  5.83194  5.83194  
4  13  2  5.78582  0  1.92  5.78582  0  5.78582  5.78582  
46  12  2  5.85468  0  1.96  5.85468  0  5.85468  5.85468  
25  33  2  6.05325  0  1.04  6.05325  0  6.05325  6.05325  
40  72  2  5.51818  0  0.54  5.51818  0  5.51818  5.51818  
39  76  2  5.77623  0  1.1  5.77623  0  5.77623  5.77623  
46  80  2  6.25505  0  2.5  6.25505  0  6.25505  6.25505  
38  72  2  4.89533  0  0.24  4.89533  0  4.89533  4.89533  
26  37  2  5.23086  0  1.9  5.23086  0  5.23086  5.23086  
21  13  2  5.35889  0  0.84  5.35889  0  5.35889  5.35889  
25  44  2  5.85836  0  1.02  5.85836  0  5.85836  5.85836  
74  11  2  5.52948  0  1.44  5.52948  0  5.52948  5.52948  
19  19  2  4.74844  0  2.3  4.74844  0  4.74844  4.74844  
77  32  2  6.32535  0  1.2  6.32535  0  6.32535  6.32535  
78  13  2  5.93604  0  1.66  5.93604  0  5.93604  5.93604  
33  44  2  6.28815  0  1.54  6.28815  0  6.28815  6.28815  
28  52  2  6.3042  0  1.6  6.3042  0  6.3042  6.3042  
33  39  2  5.87  0  1.9  5.87  0  5.87  5.87  
19  23  2  5.14101  0  0.32  5.14101  0  5.14101  5.14101  
12  3  2  5.41433  0  1.8  5.41433  0  5.41433  5.41433  
23  20  2  5.04394  0  2.54  5.04394  0  5.04394  5.04394  
45  81  2  6.27528  0  2.5  6.27528  0  6.27528  6.27528  
37  79  2  5.61181  0  1.68  5.61181  0  5.61181  5.61181  
32  75  2  5.97318  0  0.66  5.97318  0  5.97318  5.97318  
25  24  2  5.63952  0  0.6  5.63952  0  5.63952  5.63952  
25  41  2  5.72197  0  0.18  5.72197  0  5.72197  5.72197  
73  83  2  5.86611  0  1.46  5.86611  0  5.86611  5.86611  
5  75  2  5.89041  0  1.78  5.89041  0  5.89041  5.89041  
33  81  2  6.54327  0  2.22  6.54327  0  6.54327  6.54327  
39  48  2  5.66322  0  1.62  5.66322  0  5.66322  5.66322  
27  50  2  5.97602  0  1.02  5.97602  0  5.97602  5.97602  
5  74  2  6.00077  0  1.4  6.00077  0  6.00077  6.00077  
81  81  2  6.58952  0  1.78  6.58952  0  6.58952  6.58952  
23  29  2  5.81488  0  1.6  5.81488  0  5.81488  5.81488  
46  42  2  5.90079  0  0.9  5.90079  0  5.90079  5.90079  
76  75  2  6.04666  0  1.68  6.04666  0  6.04666  6.04666  
37  22  2  5.06328  0  0.62  5.06328  0  5.06328  5.06328  
32  32  2  6.13943  0  0.72  6.13943  0  6.13943  6.13943  
20  29  2  5.26945  0  1.26  5.26945  0  5.26945  5.26945  
46  83  2  5.96301  0  1.34  5.96301  0  5.96301  5.96301  
80  25  2  6.03487  0  1.02  6.03487  0  6.03487  6.03487  
82  28  2  5.88444  0  1.14  5.88444  0  5.88444  5.88444  
82  12  2  5.69929  0  1.22  5.69929  0  5.69929  5.69929  
41  41  2  5.80562  0  0.48  5.80562  0  5.80562  5.80562  
